id,State_Name,Mean,Median,Stdev,sum_w
60220669,California,102973,300000,64179,165.8252807
60220679,California,119975,113360,78943,115.859292
60220689,California,83908,77257,53494,336.1826821
6022069,California,92498,73010,69986,569.0243409
60220699,California,99245,86368,68980,149.9531253
60220709,California,87043,300000,42445,154.3552365
60220719,California,85543,73636,55575,373.8468052
60220729,California,87373,300000,55342,135.7237357
60220739,California,166830,300000,73524,69.55940713
60220749,California,78095,81557,26219,59.95843489
60220759,California,102728,300000,56471,158.6201378
60220769,California,57935,52358,41303,338.9824403
60220779,California,82095,65165,57008,316.2193502
60220789,California,0,0,0,0
6022079,California,81589,55532,70384,1080.413701
60220799,California,38514,17824,45164,136.19656
60220809,California,96948,85325,69531,327.3154785
60220819,California,122011,300000,74387,307.247666
60220829,California,138486,135191,79882,137.545981
60220839,California,64770,54581,57787,443.3117845
60220849,California,90681,65980,63674,264.4197849
60220859,California,74250,59813,53226,324.7479461
60220869,California,109278,104575,57870,177.8130112
60220879,California,97382,300000,63616,315.4153191
60220889,California,128103,117910,72982,184.352584
6022089,California,64852,48399,52217,972.0958979
60220899,California,88083,89894,56268,157.2240091
602209,California,62415,51352,48589,1142.431163
60220909,California,106548,300000,69251,457.109016
60220919,California,66160,300000,36931,408.4513222
60220929,California,120750,300000,65698,410.1689101
60220939,California,99832,300000,66598,148.6256824
60220949,California,119639,300000,66804,189.0863188
60220959,California,89086,74552,69087,353.6824029
60220969,California,72930,56088,61959,257.0229901
60220979,California,114161,109869,92918,336.7521133
60220989,California,135860,300000,58527,213.6034158
6022099,California,110536,90712,80837,280.3515366
60220999,California,61231,52284,44701,548.7113026
60221009,California,90629,77931,70278,188.3883557
60221019,California,40839,27678,41290,411.1558471
60221029,California,56215,300000,34129,202.0599553
60221039,California,22310,19305,16429,431.517119
60221049,California,58731,61115,40081,127.8585864
60221059,California,100620,84009,75750,209.1187348
60221069,California,115154,300000,49694,52.09407309
60221079,California,54653,47409,35880,268.3576681
60221089,California,78933,300000,31150,157.8566653
6022109,California,48555,34951,47639,886.9366194
60221099,California,48369,44781,28933,770.0049278
60221109,California,69103,300000,35331,263.8238711
60221119,California,57566,49948,38554,391.5867354
60221129,California,78873,67122,58979,227.4892028
60221139,California,46706,44628,30245,303.9912884
60221149,California,98969,300000,64930,146.4586863
60221159,California,50865,36298,47517,460.0228038
60221169,California,79762,83091,53484,266.2211801
60221179,California,113676,103469,64909,412.8410054
60221189,California,129265,300000,75261,74.86099333
6022119,California,80066,61606,59353,861.1275811
60221199,California,83752,84979,33424,176.5822276
60221209,California,74692,70565,47237,287.9823728
60221219,California,52965,39508,46589,436.9832123
60221229,California,41942,34845,31455,649.6492218
60221239,California,57390,49729,38624,276.9234381
60221249,California,91277,83775,51048,227.4856374
60221259,California,48075,47287,25708,567.6155432
